variant,sequence_count,line_number,test,subtest_index,passed,eligible,pass_proportion,proportion_flagged,uniformity_p_value,uniformity_flagged,raw_line,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,source,transform
bjt_raw,8,82,NonOverlappingTemplate,67,8,8,1.0,False,,False,  1   1   0   2   1   2   1   0   0   0     ----       8/8       NonOverlappingTemplate,1,1,0,2,1,2,1,0,0,0,bjt,raw
bjt_raw,8,83,NonOverlappingTemplate,68,8,8,1.0,False,,False,  1   3   0   0   1   1   1   0   1   0     ----       8/8       NonOverlappingTemplate,1,3,0,0,1,1,1,0,1,0,bjt,raw
bjt_raw,8,84,NonOverlappingTemplate,69,8,8,1.0,False,,False,  1   2   0   0   0   0   0   2   1   2     ----       8/8       NonOverlappingTemplate,1,2,0,0,0,0,0,2,1,2,bjt,raw
bjt_raw,8,85,NonOverlappingTemplate,70,8,8,1.0,False,,False,  0   0   1   0   1   1   1   2   0   2     ----       8/8       NonOverlappingTemplate,0,0,1,0,1,1,1,2,0,2,bjt,raw
bjt_raw,8,86,NonOverlappingTemplate,71,8,8,1.0,False,,False,  4   0   2   0   1   0   0   1   0   0     ----       8/8       NonOverlappingTemplate,4,0,2,0,1,0,0,1,0,0,bjt,raw
bjt_raw,8,87,NonOverlappingTemplate,72,8,8,1.0,False,,False,  0   1   0   3   1   0   1   1   0   1     ----       8/8       NonOverlappingTemplate,0,1,0,3,1,0,1,1,0,1,bjt,raw
bjt_raw,8,88,NonOverlappingTemplate,73,8,8,1.0,False,,False,  2   2   1   1   1   0   0   0   0   1     ----       8/8       NonOverlappingTemplate,2,2,1,1,1,0,0,0,0,1,bjt,raw
bjt_raw,8,89,NonOverlappingTemplate,74,8,8,1.0,False,,False,  1   0   2   2   0   0   0   1   1   1     ----       8/8       NonOverlappingTemplate,1,0,2,2,0,0,0,1,1,1,bjt,raw
bjt_raw,8,90,NonOverlappingTemplate,75,8,8,1.0,False,,False,  0   1   2   0   1   0   3   0   0   1     ----       8/8       NonOverlappingTemplate,0,1,2,0,1,0,3,0,0,1,bjt,raw
bjt_raw,8,91,NonOverlappingTemplate,76,8,8,1.0,False,,False,  1   1   2   2   0   0   1   1   0   0     ----       8/8       NonOverlappingTemplate,1,1,2,2,0,0,1,1,0,0,bjt,raw
bjt_raw,8,92,NonOverlappingTemplate,77,8,8,1.0,False,,False,  2   0   3   0   0   0   0   1   0   2     ----       8/8       NonOverlappingTemplate,2,0,3,0,0,0,0,1,0,2,bjt,raw
bjt_raw,8,93,NonOverlappingTemplate,78,8,8,1.0,False,,False,  2   1   0   1   0   1   1   0   2   0     ----       8/8       NonOverlappingTemplate,2,1,0,1,0,1,1,0,2,0,bjt,raw
bjt_raw,8,94,NonOverlappingTemplate,79,8,8,1.0,False,,False,  0   0   0   2   1   0   0   0   2   3     ----       8/8       NonOverlappingTemplate,0,0,0,2,1,0,0,0,2,3,bjt,raw
bjt_raw,8,95,NonOverlappingTemplate,80,8,8,1.0,False,,False,  1   0   0   1   1   1   1   2   0   1     ----       8/8       NonOverlappingTemplate,1,0,0,1,1,1,1,2,0,1,bjt,raw
bjt_raw,8,96,NonOverlappingTemplate,81,8,8,1.0,False,,False,  0   1   2   1   0   0   0   1   2   1     ----       8/8       NonOverlappingTemplate,0,1,2,1,0,0,0,1,2,1,bjt,raw
bjt_raw,8,97,NonOverlappingTemplate,82,8,8,1.0,False,,False,  2   1   1   0   0   0   2   1   0   1     ----       8/8       NonOverlappingTemplate,2,1,1,0,0,0,2,1,0,1,bjt,raw
bjt_raw,8,98,NonOverlappingTemplate,83,8,8,1.0,False,,False,  0   1   1   1   1   2   1   0   1   0     ----       8/8       NonOverlappingTemplate,0,1,1,1,1,2,1,0,1,0,bjt,raw
bjt_raw,8,99,NonOverlappingTemplate,84,8,8,1.0,False,,False,  2   2   2   0   0   1   0   0   1   0     ----       8/8       NonOverlappingTemplate,2,2,2,0,0,1,0,0,1,0,bjt,raw
bjt_raw,8,100,NonOverlappingTemplate,85,8,8,1.0,False,,False,  0   2   1   2   0   2   1   0   0   0     ----       8/8       NonOverlappingTemplate,0,2,1,2,0,2,1,0,0,0,bjt,raw
bjt_raw,8,101,NonOverlappingTemplate,86,8,8,1.0,False,,False,  2   0   0   0   0   3   0   1   2   0     ----       8/8       NonOverlappingTemplate,2,0,0,0,0,3,0,1,2,0,bjt,raw
bjt_raw,8,102,NonOverlappingTemplate,87,8,8,1.0,False,,False,  0   1   1   1   2   1   0   1   0   1     ----       8/8       NonOverlappingTemplate,0,1,1,1,2,1,0,1,0,1,bjt,raw
bjt_raw,8,103,NonOverlappingTemplate,88,8,8,1.0,False,,False,  0   0   2   0   2   1   2   0   1   0     ----       8/8       NonOverlappingTemplate,0,0,2,0,2,1,2,0,1,0,bjt,raw
bjt_raw,8,104,NonOverlappingTemplate,89,7,8,0.875,False,,False,  3   0   0   0   1   1   0   0   1   2     ----       7/8       NonOverlappingTemplate,3,0,0,0,1,1,0,0,1,2,bjt,raw
bjt_raw,8,105,NonOverlappingTemplate,90,8,8,1.0,False,,False,  1   1   0   1   1   0   0   1   3   0     ----       8/8       NonOverlappingTemplate,1,1,0,1,1,0,0,1,3,0,bjt,raw
bjt_raw,8,106,NonOverlappingTemplate,91,8,8,1.0,False,,False,  0   0   1   0   3   0   1   1   1   1     ----       8/8       NonOverlappingTemplate,0,0,1,0,3,0,1,1,1,1,bjt,raw
bjt_raw,8,107,NonOverlappingTemplate,92,8,8,1.0,False,,False,  0   0   0   1   2   1   1   1   2   0     ----       8/8       NonOverlappingTemplate,0,0,0,1,2,1,1,1,2,0,bjt,raw
bjt_raw,8,108,NonOverlappingTemplate,93,8,8,1.0,False,,False,  0   0   3   0   0   0   4   0   1   0     ----       8/8       NonOverlappingTemplate,0,0,3,0,0,0,4,0,1,0,bjt,raw
bjt_raw,8,109,NonOverlappingTemplate,94,8,8,1.0,False,,False,  1   0   1   3   0   1   0   1   0   1     ----       8/8       NonOverlappingTemplate,1,0,1,3,0,1,0,1,0,1,bjt,raw
bjt_raw,8,110,NonOverlappingTemplate,95,8,8,1.0,False,,False,  1   0   0   0   1   1   0   2   3   0     ----       8/8       NonOverlappingTemplate,1,0,0,0,1,1,0,2,3,0,bjt,raw
bjt_raw,8,111,NonOverlappingTemplate,96,8,8,1.0,False,,False,  0   0   0   0   0   3   0   0   3   2     ----       8/8       NonOverlappingTemplate,0,0,0,0,0,3,0,0,3,2,bjt,raw
bjt_raw,8,112,NonOverlappingTemplate,97,8,8,1.0,False,,False,  1   0   2   1   0   0   1   2   0   1     ----       8/8       NonOverlappingTemplate,1,0,2,1,0,0,1,2,0,1,bjt,raw
bjt_raw,8,113,NonOverlappingTemplate,98,8,8,1.0,False,,False,  1   0   0   1   0   1   1   1   2   1     ----       8/8       NonOverlappingTemplate,1,0,0,1,0,1,1,1,2,1,bjt,raw
bjt_raw,8,114,NonOverlappingTemplate,99,7,8,0.875,False,,False,  2   1   0   1   0   1   0   1   0   2     ----       7/8       NonOverlappingTemplate,2,1,0,1,0,1,0,1,0,2,bjt,raw
bjt_raw,8,115,NonOverlappingTemplate,100,8,8,1.0,False,,False,  2   1   0   0   1   1   2   0   0   1     ----       8/8       NonOverlappingTemplate,2,1,0,0,1,1,2,0,0,1,bjt,raw
bjt_raw,8,116,NonOverlappingTemplate,101,8,8,1.0,False,,False,  1   0   3   0   0   1   1   0   1   1     ----       8/8       NonOverlappingTemplate,1,0,3,0,0,1,1,0,1,1,bjt,raw
bjt_raw,8,117,NonOverlappingTemplate,102,8,8,1.0,False,,False,  0   1   1   2   0   1   0   1   1   1     ----       8/8       NonOverlappingTemplate,0,1,1,2,0,1,0,1,1,1,bjt,raw
bjt_raw,8,118,NonOverlappingTemplate,103,8,8,1.0,False,,False,  2   0   0   0   0   0   0   1   1   4     ----       8/8       NonOverlappingTemplate,2,0,0,0,0,0,0,1,1,4,bjt,raw
bjt_raw,8,119,NonOverlappingTemplate,104,8,8,1.0,False,,False,  1   1   0   2   2   0   0   1   1   0     ----       8/8       NonOverlappingTemplate,1,1,0,2,2,0,0,1,1,0,bjt,raw
bjt_raw,8,120,NonOverlappingTemplate,105,8,8,1.0,False,,False,  1   0   1   0   1   1   1   1   2   0     ----       8/8       NonOverlappingTemplate,1,0,1,0,1,1,1,1,2,0,bjt,raw
bjt_raw,8,121,NonOverlappingTemplate,106,8,8,1.0,False,,False,  0   1   0   0   1   2   1   1   2   0     ----       8/8       NonOverlappingTemplate,0,1,0,0,1,2,1,1,2,0,bjt,raw
bjt_raw,8,122,NonOverlappingTemplate,107,7,8,0.875,False,,False,  2   0   0   2   1   0   1   0   0   2     ----       7/8       NonOverlappingTemplate,2,0,0,2,1,0,1,0,0,2,bjt,raw
bjt_raw,8,123,NonOverlappingTemplate,108,8,8,1.0,False,,False,  2   0   1   2   1   0   0   1   0   1     ----       8/8       NonOverlappingTemplate,2,0,1,2,1,0,0,1,0,1,bjt,raw
bjt_raw,8,124,NonOverlappingTemplate,109,8,8,1.0,False,,False,  0   4   0   0   0   1   0   0   2   1     ----       8/8       NonOverlappingTemplate,0,4,0,0,0,1,0,0,2,1,bjt,raw
bjt_raw,8,125,NonOverlappingTemplate,110,8,8,1.0,False,,False,  0   1   1   0   4   0   0   1   0   1     ----       8/8       NonOverlappingTemplate,0,1,1,0,4,0,0,1,0,1,bjt,raw
bjt_raw,8,126,NonOverlappingTemplate,111,8,8,1.0,False,,False,  1   0   1   4   0   1   0   0   0   1     ----       8/8       NonOverlappingTemplate,1,0,1,4,0,1,0,0,0,1,bjt,raw
bjt_raw,8,127,NonOverlappingTemplate,112,8,8,1.0,False,,False,  0   0   2   1   0   1   1   1   1   1     ----       8/8       NonOverlappingTemplate,0,0,2,1,0,1,1,1,1,1,bjt,raw
bjt_raw,8,128,NonOverlappingTemplate,113,8,8,1.0,False,,False,  0   0   3   3   0   0   0   0   1   1     ----       8/8       NonOverlappingTemplate,0,0,3,3,0,0,0,0,1,1,bjt,raw
bjt_raw,8,129,NonOverlappingTemplate,114,8,8,1.0,False,,False,  1   0   0   1   0   3   0   1   1   1     ----       8/8       NonOverlappingTemplate,1,0,0,1,0,3,0,1,1,1,bjt,raw
bjt_raw,8,130,NonOverlappingTemplate,115,8,8,1.0,False,,False,  0   0   1   0   1   0   0   0   1   5     ----       8/8       NonOverlappingTemplate,0,0,1,0,1,0,0,0,1,5,bjt,raw
bjt_raw,8,131,NonOverlappingTemplate,116,8,8,1.0,False,,False,  1   1   0   1   0   1   1   1   1   1     ----       8/8       NonOverlappingTemplate,1,1,0,1,0,1,1,1,1,1,bjt,raw
bjt_raw,8,132,NonOverlappingTemplate,117,8,8,1.0,False,,False,  1   1   0   1   0   0   1   1   3   0     ----       8/8       NonOverlappingTemplate,1,1,0,1,0,0,1,1,3,0,bjt,raw
bjt_raw,8,133,NonOverlappingTemplate,118,8,8,1.0,False,,False,  0   0   0   1   0   1   1   0   3   2     ----       8/8       NonOverlappingTemplate,0,0,0,1,0,1,1,0,3,2,bjt,raw
bjt_raw,8,134,NonOverlappingTemplate,119,8,8,1.0,False,,False,  0   0   0   0   2   0   1   3   1   1     ----       8/8       NonOverlappingTemplate,0,0,0,0,2,0,1,3,1,1,bjt,raw
bjt_raw,8,135,NonOverlappingTemplate,120,8,8,1.0,False,,False,  0   1   0   1   2   1   0   0   2   1     ----       8/8       NonOverlappingTemplate,0,1,0,1,2,1,0,0,2,1,bjt,raw
bjt_raw,8,136,NonOverlappingTemplate,121,8,8,1.0,False,,False,  0   0   3   1   0   3   0   1   0   0     ----       8/8       NonOverlappingTemplate,0,0,3,1,0,3,0,1,0,0,bjt,raw
