variant,source,transform,sequence_count,test,pass_proportion,uniformity_p_value,eligible_sequences,subtest_rows
pynacl_vn,pynacl,vn,2,BlockFrequency,1.0,,2,1
pynacl_vn,pynacl,vn,2,CumulativeSums,1.0,,2,2
pynacl_vn,pynacl,vn,2,FFT,1.0,,2,1
pynacl_vn,pynacl,vn,2,Frequency,1.0,,2,1
pynacl_vn,pynacl,vn,2,LinearComplexity,1.0,,2,1
pynacl_vn,pynacl,vn,2,LongestRun,1.0,,2,1
pynacl_vn,pynacl,vn,2,NonOverlappingTemplate,0.5,,2,148
pynacl_vn,pynacl,vn,2,OverlappingTemplate,1.0,,2,1
pynacl_vn,pynacl,vn,2,RandomExcursions,1.0,,2,8
pynacl_vn,pynacl,vn,2,RandomExcursionsVariant,1.0,,2,18
pynacl_vn,pynacl,vn,2,Rank,1.0,,2,1
pynacl_vn,pynacl,vn,2,Runs,1.0,,2,1
pynacl_vn,pynacl,vn,2,Serial,1.0,,2,2
pynacl_vn,pynacl,vn,2,Universal,1.0,,2,1
pynacl_xor,pynacl,xor,8,ApproximateEntropy,1.0,,8,1
pynacl_xor,pynacl,xor,8,BlockFrequency,1.0,,8,1
pynacl_xor,pynacl,xor,8,CumulativeSums,1.0,,8,2
pynacl_xor,pynacl,xor,8,FFT,1.0,,8,1
pynacl_xor,pynacl,xor,8,Frequency,1.0,,8,1
pynacl_xor,pynacl,xor,8,LinearComplexity,1.0,,8,1
pynacl_xor,pynacl,xor,8,LongestRun,1.0,,8,1
pynacl_xor,pynacl,xor,8,NonOverlappingTemplate,0.875,,8,148
pynacl_xor,pynacl,xor,8,OverlappingTemplate,1.0,,8,1
pynacl_xor,pynacl,xor,8,RandomExcursions,1.0,,5,8
pynacl_xor,pynacl,xor,8,RandomExcursionsVariant,1.0,,5,18
pynacl_xor,pynacl,xor,8,Rank,1.0,,8,1
pynacl_xor,pynacl,xor,8,Runs,1.0,,8,1
pynacl_xor,pynacl,xor,8,Serial,1.0,,8,2
pynacl_xor,pynacl,xor,8,Universal,1.0,,8,1
python_random_raw,python_random,raw,8,ApproximateEntropy,1.0,,8,1
python_random_raw,python_random,raw,8,BlockFrequency,1.0,,8,1
python_random_raw,python_random,raw,8,CumulativeSums,1.0,,8,2
python_random_raw,python_random,raw,8,FFT,1.0,,8,1
python_random_raw,python_random,raw,8,Frequency,1.0,,8,1
python_random_raw,python_random,raw,8,LinearComplexity,1.0,,8,1
python_random_raw,python_random,raw,8,LongestRun,1.0,,8,1
python_random_raw,python_random,raw,8,NonOverlappingTemplate,0.875,,8,148
python_random_raw,python_random,raw,8,OverlappingTemplate,1.0,,8,1
python_random_raw,python_random,raw,8,RandomExcursions,0.8,,5,8
python_random_raw,python_random,raw,8,RandomExcursionsVariant,0.8,,5,18
python_random_raw,python_random,raw,8,Rank,1.0,,8,1
python_random_raw,python_random,raw,8,Runs,1.0,,8,1
python_random_raw,python_random,raw,8,Serial,1.0,,8,2
python_random_raw,python_random,raw,8,Universal,1.0,,8,1
python_random_vn,python_random,vn,2,ApproximateEntropy,1.0,,2,1
python_random_vn,python_random,vn,2,BlockFrequency,1.0,,2,1
python_random_vn,python_random,vn,2,CumulativeSums,1.0,,2,2
python_random_vn,python_random,vn,2,FFT,1.0,,2,1
python_random_vn,python_random,vn,2,Frequency,1.0,,2,1
python_random_vn,python_random,vn,2,LinearComplexity,1.0,,2,1
python_random_vn,python_random,vn,2,LongestRun,1.0,,2,1
python_random_vn,python_random,vn,2,NonOverlappingTemplate,0.5,,2,148
python_random_vn,python_random,vn,2,OverlappingTemplate,1.0,,2,1
python_random_vn,python_random,vn,2,RandomExcursions,1.0,,1,8
python_random_vn,python_random,vn,2,RandomExcursionsVariant,0.0,,1,18
python_random_vn,python_random,vn,2,Rank,1.0,,2,1
python_random_vn,python_random,vn,2,Runs,1.0,,2,1
